1962	99	99	99	99	99	99	10.9	11.6	12.7	15.6	16.2	17.8	99
1963	19.3	20.9	18.2	15.1	13.3	11.1	10.8	10.4	12.6	14.8	15	17.4	14.91
1964	18.1	19.8	18.2	16.1	12.7	11.4	11.8	11.1	12.3	13.7	15.4	18.1	14.89
1965	19.9	18.6	17.4	15.8	13.1	10.6	8.8	10.4	12.7	13.2	15.1	17.6	14.43
1966	19.2	21.2	19.2	16.2	12.3	10.6	10.2	9.7	12.2	13.6	15.4	16.9	14.73
1967	18.1	18.5	18.7	16.3	13.5	9.7	10.2	12.5	12.2	15.2	16.4	17.8	14.93
1968	18.5	18.8	20.4	15.9	13.4	11.6	10.1	11.2	11.4	13	14.5	16.8	14.63
1969	18.2	18.5	17.1	15.1	13.4	10.6	8.7	10.8	13.2	13	16.5	19.3	14.53
1970	20.7	19.6	19.5	16.9	12.8	11.3	10.9	11.6	13.1	14.9	16.4	18.7	15.53
1971	21.1	20.9	18.2	16.7	13.9	13.4	10.2	12.3	12.9	14.3	16.1	18.4	15.7
1972	18.8	18.9	19.5	16.6	13.5	10	10.9	10.1	13.1	14.6	18	17	15.08
1973	19.5	19.4	19.1	16.2	14.2	12	10	11.8	13.3	14.7	17	18.6	15.48
1974	19.3	22.2	17.9	16.9	13.8	11.6	11.8	11.5	13.1	14.3	17	19.1	15.71
1975	20.4	20.4	19.4	16.3	15	10.3	9.9	11.6	12.9	14.7	15.5	16.9	15.28
1976	19.4	17	18.6	16.1	12.5	10.2	10.1	12.2	12.2	14	15	17.6	14.58
1977	18.5	19.8	19.3	16.3	11.6	11.5	11	11.1	10.6	13.5	14.6	16.6	14.53
1978	19.7	21	19.1	17.8	13.3	11.2	10.5	11.1	12.6	13	16.1	17.9	15.28
1979	20.2	19.3	19.6	16	13.5	12.5	10.7	11.5	12.9	14.3	16.3	17.8	15.38
1980	19.4	19.6	17.3	15	13.4	11.4	10.4	10.4	13.1	14.9	15.4	17.4	14.81
1981	20.6	20.4	20.6	17.1	13.5	12.4	10.3	10.8	12.3	13.7	15.9	19.1	15.56
1982	19.9	20.5	17.8	14.7	13.5	9.9	9.5	10.9	12.2	13	16.7	17.1	14.64
1983	18.3	18.6	18.9	16.1	13	11.5	8.8	11.1	13.4	14.9	15.7	17	14.78
1984	17.8	19.2	19	15.5	13	11.8	11.2	12.4	12.4	13.8	17.2	19.4	15.23
1985	20.2	19.4	18.2	15.6	12.3	12.4	12	10.9	13.2	13.5	15.9	18.8	15.2
1986	20.7	20	18.2	16.6	13.9	11.4	9.8	10.7	12.6	15	16.2	17.6	15.23
1987	20.3	18.8	17.4	15.9	13.3	11.7	11.1	12	12.9	14.8	16.4	18.2	15.23
1988	18.9	20.5	17.9	15.5	14.3	11.9	11.7	12.3	13.9	15	16.9	18.9	15.64
1989	20.2	19.9	19.4	16.8	14	12.1	10.1	11.8	14.2	15.9	17.3	18.2	15.83
1990	20.1	22.1	20.3	17.6	14.7	11.4	11.9	12.2	12.2	15.7	17	19	16.18
1991	19.8	20.4	18.3	16	13.4	11.7	10.4	12.4	13.8	14.5	15.2	18	15.33
1992	19.8	20.2	17.3	13.9	12.6	10.9	11.6	11.3	12	13.6	16.9	18.4	14.88
1993	19.5	19	17.9	15.7	99	99	99	99	99	99	99	99	99
1994	99	99	99	99	99	99	99	11	12.2	13.6	15.7	18.7	99
1995	19.7	20.5	19	18.2	14.4	12	10.9	10.9	12.8	14.3	15.6	19	15.61
1996	20.6	21.2	17.8	17.2	13.3	10.7	11.1	11.6	13.9	14.8	15.9	17.6	15.48
1997	18.6	20.4	18.7	15.7	14.8	11	10.1	10.8	12.4	14.1	16.2	18.5	15.11
1998	20.1	22.5	20.1	17.3	14.8	13.3	13.4	12.1	13.7	15.8	16.9	19	16.58
1999	22.1	20.9	20.4	17	14.7	12.1	11.3	11.1	13	15.2	17	17.6	16.03
2000	19.4	19.9	18.7	16.8	14.9	12.4	13	11.7	13.1	14.8	15.1	19.3	15.76
2001	19	21.1	18.9	16.6	15	11.2	10	12	13.4	16.2	16.6	19.4	15.78
2002	19.5	19.6	19.3	15.8	14.6	13.8	11.2	11.6	13.3	13.4	15	18.1	15.43
2003	19	19.5	19.1	16.4	14.5	13.2	10	11.6	13.6	13.8	15.9	19	15.47
2004	20.6	19.3	17	15.3	14.4	12.7	10.4	10.5	12.3	14.4	16.2	16	14.93
2005	19.3	21.2	19.8	16.4	15.2	12	12.2	11.9	13.9	15	16.3	19.6	16.07
2006	20.3	20.5	18.7	17.5	14.2	10.1	10.4	11.5	13.8	14.3	16.3	15.9	15.29
2007	19.5	19.8	19.7	15.9	15.1	11.9	11.5	12.2	13.3	14.3	15.7	18.8	15.6
2008	21.2	20.4	19.6	17.0	12.7	12.4	11.3	11.7	13.1	14.4	16.4	18.3	15.7
2009	19.7	20.9	18.1	16.4	12.2	10.0	10.4	12.9	13.4	13.4	16.0	18.3	15.14
2010	19.9	21.6	19.1	16.9	14.3	12.1	10.6	12.4	13.6	14.2	16.8	20.4	16.0
2011	20.6	21.1	18.8	16.4	15.4	13.4	11.5	10.7	12.3	15.3	16.2	18.4	15.84
2012	19.0	19.8	17.8	16.8	13.4	11.8	11.2	12.6	13.2	14.3	15.7
